frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport
"Jul 10, 2025 10:38:51.554784702 CEST",,,,,
"Jul 10, 2025 10:38:51.601232346 CEST",,,,,
"Jul 10, 2025 10:38:51.676785142 CEST","10.74.17.111","224.0.0.251","17",,
"Jul 10, 2025 10:38:51.677646076 CEST",,,,,
"Jul 10, 2025 10:38:51.783372644 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:51.783396634 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:51.784477262 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:51.784538331 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:51.784901650 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:51.785275671 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:51.788342499 CEST","10.74.18.51","34.36.54.80","6","46058","443"
"Jul 10, 2025 10:38:51.802062933 CEST","34.36.54.80","10.74.18.51","6","443","46058"
"Jul 10, 2025 10:38:51.802221468 CEST","10.74.18.51","34.36.54.80","6","46058","443"
"Jul 10, 2025 10:38:51.804868188 CEST","10.74.18.51","34.36.54.80","6","46058","443"
"Jul 10, 2025 10:38:51.818387325 CEST","34.36.54.80","10.74.18.51","6","443","46058"
"Jul 10, 2025 10:38:51.844197547 CEST","34.36.54.80","10.74.18.51","6","443","46058"
"Jul 10, 2025 10:38:51.844288348 CEST","10.74.18.51","34.36.54.80","6","46058","443"
"Jul 10, 2025 10:38:51.846255878 CEST","10.74.18.51","34.36.54.80","6","46058","443"
"Jul 10, 2025 10:38:51.847431601 CEST","10.74.18.51","34.36.54.80","6","46058","443"
"Jul 10, 2025 10:38:51.847518759 CEST","10.74.18.51","34.36.54.80","6","46058","443"
"Jul 10, 2025 10:38:51.847586090 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:51.847621007 CEST","10.74.18.51","10.74.16.1","17",,
