"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","160.64.102.102","10.74.18.53","TCP","54","3161  >  80 [SYN] Seq=0 Win=512 Len=0"
"2","0.010182317","26.90.97.210","10.74.18.53","TCP","54","3162  >  80 [SYN] Seq=0 Win=512 Len=0"
"3","0.020393932","89.127.102.50","10.74.18.53","TCP","54","3163  >  80 [SYN] Seq=0 Win=512 Len=0"
"4","0.030545457","112.2.193.103","10.74.18.53","TCP","54","3164  >  80 [SYN] Seq=0 Win=512 Len=0"
"5","0.040233428","10.74.17.126","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"6","0.041152718","240.192.119.188","10.74.18.53","TCP","54","3165  >  80 [SYN] Seq=0 Win=512 Len=0"
"7","0.051336928","30.166.16.179","10.74.18.53","TCP","54","3166  >  80 [SYN] Seq=0 Win=512 Len=0"
"8","0.061483497","199.169.26.155","10.74.18.53","TCP","54","3167  >  80 [SYN] Seq=0 Win=512 Len=0"
"9","0.071663221","250.87.107.206","10.74.18.53","TCP","54","3168  >  80 [SYN] Seq=0 Win=512 Len=0"
"10","0.078480695","Cisco_e4:78:c3","PVST+","STP","64","Conf. Root = 32768/16/2c:33:11:e4:78:c0  Cost = 0  Port = 0x8004"
"11","0.081811107","206.253.23.3","10.74.18.53","TCP","54","3169  >  80 [SYN] Seq=0 Win=512 Len=0"
"12","0.091974710","23.210.133.212","10.74.18.53","TCP","54","3170  >  80 [SYN] Seq=0 Win=512 Len=0"
"13","0.102242818","121.139.161.160","10.74.18.53","TCP","54","3171  >  80 [SYN] Seq=0 Win=512 Len=0"
"14","0.112387220","90.35.122.154","10.74.18.53","TCP","54","3172  >  80 [SYN] Seq=0 Win=512 Len=0"
"15","0.122552922","160.182.209.74","10.74.18.53","TCP","54","3173  >  80 [SYN] Seq=0 Win=512 Len=0"
"16","0.128743230","fe80::bc32:3446:332f:69b6","ff02::1:3","LLMNR","95","Standard query 0xa6f0 AAAA CHRICHRI-HKD-WX"
"17","0.128873713","fe80::bc32:3446:332f:69b6","ff02::1:3","LLMNR","95","Standard query 0x626a A CHRICHRI-HKD-WX"
"18","0.132723021","10.74.17.126","224.0.0.252","LLMNR","75","Standard query 0xa6f0 AAAA CHRICHRI-HKD-WX"
"19","0.132723362","10.74.17.126","224.0.0.252","LLMNR","75","Standard query 0x626a A CHRICHRI-HKD-WX"
"20","0.132740009","233.78.76.179","10.74.18.53","TCP","54","3174  >  80 [SYN] Seq=0 Win=512 Len=0"
"21","0.142903780","234.155.122.255","10.74.18.53","TCP","54","3175  >  80 [SYN] Seq=0 Win=512 Len=0"
"22","0.153073052","57.90.156.20","10.74.18.53","TCP","54","3176  >  80 [SYN] Seq=0 Win=512 Len=0"
"23","0.163261290","100.205.124.165","10.74.18.53","TCP","54","3177  >  80 [SYN] Seq=0 Win=512 Len=0"
"24","0.173435484","50.157.89.243","10.74.18.53","TCP","54","3178  >  80 [SYN] Seq=0 Win=512 Len=0"
"25","0.175568407","ProxmoxServe_00:74:57","ProxmoxServe_e8:6f:79","ARP","42","Who has 10.74.18.53? Tell 10.74.18.60"
"26","0.175957757","ProxmoxServe_e8:6f:79","ProxmoxServe_00:74:57","ARP","42","10.74.18.53 is at bc:24:11:e8:6f:79"
"27","0.183691465","218.209.197.242","10.74.18.53","TCP","54","3179  >  80 [SYN] Seq=0 Win=512 Len=0"
"28","0.193868199","23.21.120.211","10.74.18.53","TCP","54","3180  >  80 [SYN] Seq=0 Win=512 Len=0"
"29","0.203982570","224.74.160.206","10.74.18.53","TCP","54","3181  >  80 [SYN] Seq=0 Win=512 Len=0"
"30","0.214160469","35.124.119.251","10.74.18.53","TCP","54","3182  >  80 [SYN] Seq=0 Win=512 Len=0"
"31","0.224338354","150.206.89.243","10.74.18.53","TCP","54","3183  >  80 [SYN] Seq=0 Win=512 Len=0"
"32","0.234545947","41.210.30.169","10.74.18.53","TCP","54","3184  >  80 [SYN] Seq=0 Win=512 Len=0"
"33","0.244684878","102.181.142.27","10.74.18.53","TCP","54","3185  >  80 [SYN] Seq=0 Win=512 Len=0"
"34","0.254866267","94.51.182.120","10.74.18.53","TCP","54","3186  >  80 [SYN] Seq=0 Win=512 Len=0"
"35","0.265009732","122.119.44.20","10.74.18.53","TCP","54","3187  >  80 [SYN] Seq=0 Win=512 Len=0"
"36","0.275212440","253.171.96.124","10.74.18.53","TCP","54","3188  >  80 [SYN] Seq=0 Win=512 Len=0"
"37","0.285361348","180.171.163.74","10.74.18.53","TCP","54","3189  >  80 [SYN] Seq=0 Win=512 Len=0"
"38","0.292942941","ProxmoxServe_69:bd:fe","Broadcast","ARP","60","Who has 10.74.16.2? Tell 10.74.16.50"
"39","0.295581376","182.74.182.242","10.74.18.53","TCP","54","3190  >  80 [SYN] Seq=0 Win=512 Len=0"
"40","0.305827889","27.202.222.54","10.74.18.53","TCP","54","3191  >  80 [SYN] Seq=0 Win=512 Len=0"
"41","0.315942937","57.175.139.125","10.74.18.53","TCP","54","3192  >  80 [SYN] Seq=0 Win=512 Len=0"
"42","0.326114368","7.57.134.202","10.74.18.53","TCP","54","3193  >  80 [SYN] Seq=0 Win=512 Len=0"
"43","0.336233858","169.72.179.132","10.74.18.53","TCP","54","3194  >  80 [SYN] Seq=0 Win=512 Len=0"
"44","0.346376680","231.69.160.87","10.74.18.53","TCP","54","3195  >  80 [SYN] Seq=0 Win=512 Len=0"
"45","0.356563859","134.57.149.196","10.74.18.53","TCP","54","3196  >  80 [SYN] Seq=0 Win=512 Len=0"
"46","0.366736525","98.19.3.220","10.74.18.53","TCP","54","3197  >  80 [SYN] Seq=0 Win=512 Len=0"
"47","0.376874477","73.222.74.27","10.74.18.53","TCP","54","3198  >  80 [SYN] Seq=0 Win=512 Len=0"
"48","0.387046526","44.7.9.94","10.74.18.53","TCP","54","3199  >  80 [SYN] Seq=0 Win=512 Len=0"
"49","0.397218848","33.64.175.23","10.74.18.53","TCP","54","3200  >  80 [SYN] Seq=0 Win=512 Len=0"
