"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.74.18.60","52.109.68.4","TLSv1.2","105","Application Data"
"2","0.005568023","Intel_18:07:f4","Broadcast","ARP","60","Who has 10.74.17.110? Tell 10.74.17.168"
"3","0.007963211","Intel_18:07:f4","Broadcast","ARP","60","Who has 10.74.17.12? Tell 10.74.17.168"
"4","0.010438191","52.109.68.4","10.74.18.60","TLSv1.2","105","Application Data"
"5","0.010479697","10.74.18.60","52.109.68.4","TCP","66","43252  >  443 [ACK] Seq=40 Ack=40 Win=671 Len=0 TSval=2994689652 TSecr=2627382535"
"6","0.231765577","ProxmoxServe_2a:da:19","Broadcast","ARP","60","Who has 10.74.16.27? Tell 10.74.16.1"
"7","0.278174994","ProxmoxServe_69:bd:fe","Broadcast","ARP","60","Who has 10.74.16.2? Tell 10.74.16.50"
"8","0.278663037","ProxmoxServe_2a:da:19","Broadcast","ARP","60","Who has 10.74.16.24? Tell 10.74.16.1"
"9","0.441122330","10.74.16.187","224.0.0.251","MDNS","141","Standard query response 0x0000 PTR {""nm"":""Redmi Note 9 Pro"",""as"":""[8194]"",""ip"":""187""}._mi-connect._udp.local"
"10","0.458995176","fe80::30de:70ff:fed1:22e0","ff02::fb","MDNS","161","Standard query response 0x0000 PTR {""nm"":""Redmi Note 9 Pro"",""as"":""[8194]"",""ip"":""187""}._mi-connect._udp.local"
"11","1.000828571","10.74.18.60","52.123.128.14","TLSv1.2","93","Application Data"
"12","1.010203973","52.123.128.14","10.74.18.60","TCP","60","443  >  43566 [ACK] Seq=1 Ack=40 Win=49154 Len=0"
"13","1.010204481","52.123.128.14","10.74.18.60","TLSv1.2","93","Application Data"
"14","1.010266230","10.74.18.60","52.123.128.14","TCP","54","43566  >  443 [ACK] Seq=40 Ack=40 Win=684 Len=0"
"15","1.212171452","Cisco_e4:78:c3","PVST+","STP","64","Conf. Root = 32768/16/2c:33:11:e4:78:c0  Cost = 0  Port = 0x8004"
"16","1.303468018","ProxmoxServe_69:bd:fe","Broadcast","ARP","60","Who has 10.74.16.2? Tell 10.74.16.50"
"17","1.377775246","52.123.128.14","10.74.18.60","TCP","60","443  >  37688 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"18","1.631506507","Intel_fe:d0:58","Broadcast","ARP","60","Who has 10.74.16.1? Tell 10.74.16.161"
"19","1.692808911","ProxmoxServe_2a:da:19","Broadcast","ARP","60","Who has 10.74.16.25? Tell 10.74.16.1"
"20","1.763286711","ProxmoxServe_2a:da:19","Broadcast","ARP","60","Who has 10.74.16.28? Tell 10.74.16.1"
"21","1.861634716","ProxmoxServe_2a:da:19","Broadcast","ARP","60","Who has 10.74.16.26? Tell 10.74.16.1"
"22","2.001462893","10.74.18.60","20.50.73.9","TLSv1.2","105","Application Data"
"23","2.001688260","10.74.18.60","40.101.124.194","TLSv1.2","105","Application Data"
"24","2.020867848","40.101.124.194","10.74.18.60","TLSv1.2","105","Application Data"
"25","2.020923323","10.74.18.60","40.101.124.194","TCP","66","55198  >  443 [ACK] Seq=40 Ack=40 Win=609 Len=0 TSval=979411213 TSecr=63453915"
"26","2.022868050","Intel_18:07:f4","Broadcast","ARP","60","Who has 10.74.17.111? Tell 10.74.17.168"
"27","2.026969314","20.50.73.9","10.74.18.60","TLSv1.2","105","Application Data"
"28","2.026995544","10.74.18.60","20.50.73.9","TCP","66","33390  >  443 [ACK] Seq=40 Ack=40 Win=623 Len=0 TSval=3379971980 TSecr=26679506"
"29","2.252854732","ProxmoxServe_2a:da:19","Broadcast","ARP","60","Who has 10.74.16.27? Tell 10.74.16.1"
"30","2.305061877","20.74.67.0","10.74.18.60","TCP","60","443  >  38240 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"31","2.318015504","ProxmoxServe_2a:da:19","Broadcast","ARP","60","Who has 10.74.16.24? Tell 10.74.16.1"
"32","2.325993402","ProxmoxServe_69:bd:fe","Broadcast","ARP","60","Who has 10.74.16.2? Tell 10.74.16.50"
"33","2.583770491","10.74.17.126","10.74.19.255","NBNS","92","Name query NB PARAKOU3<00>"
"34","2.585369122","10.74.17.126","224.0.0.251","MDNS","74","Standard query 0x0000 A parakou3.local, ""QM"" question"
"35","2.585369556","fe80::bc32:3446:332f:69b6","ff02::fb","MDNS","94","Standard query 0x0000 A parakou3.local, ""QM"" question"
"36","2.587949219","fe80::bc32:3446:332f:69b6","ff02::1:3","LLMNR","88","Standard query 0xb815 A parakou3"
"37","2.588117520","10.74.17.126","224.0.0.251","MDNS","74","Standard query 0x0000 AAAA parakou3.local, ""QM"" question"
"38","2.588117710","fe80::bc32:3446:332f:69b6","ff02::fb","MDNS","94","Standard query 0x0000 AAAA parakou3.local, ""QM"" question"
"39","2.588131223","10.74.17.126","224.0.0.252","LLMNR","68","Standard query 0xb815 A parakou3"
"40","2.596214183","10.74.17.126","224.0.0.252","LLMNR","68","Standard query 0x56ff AAAA parakou3"
"41","2.596716680","fe80::bc32:3446:332f:69b6","ff02::1:3","LLMNR","88","Standard query 0x56ff AAAA parakou3"
"42","2.721089442","10.74.18.60","20.190.160.2","TCP","54","45566  >  443 [ACK] Seq=1 Ack=1 Win=638 Len=0"
"43","2.738521064","20.190.160.2","10.74.18.60","TCP","60","[TCP ACKed unseen segment] 443  >  45566 [ACK] Seq=1 Ack=2 Win=16385 Len=0"
"44","2.850314384","10.74.16.187","224.0.0.251","MDNS","141","Standard query response 0x0000 PTR {""nm"":""Redmi Note 9 Pro"",""as"":""[8194]"",""ip"":""187""}._mi-connect._udp.local"
"45","2.850314751","fe80::30de:70ff:fed1:22e0","ff02::fb","MDNS","161","Standard query response 0x0000 PTR {""nm"":""Redmi Note 9 Pro"",""as"":""[8194]"",""ip"":""187""}._mi-connect._udp.local"
"46","2.997569755","fe80::bc32:3446:332f:69b6","ff02::1:3","LLMNR","88","Standard query 0x56ff AAAA parakou3"
"47","2.997570303","10.74.17.126","224.0.0.252","LLMNR","68","Standard query 0xb815 A parakou3"
"48","2.997570413","10.74.17.126","224.0.0.252","LLMNR","68","Standard query 0x56ff AAAA parakou3"
"49","2.998977032","fe80::bc32:3446:332f:69b6","ff02::1:3","LLMNR","88","Standard query 0xb815 A parakou3"
"50","3.002436868","10.74.18.60","13.107.6.163","TLSv1.2","93","Application Data"
"51","3.002624487","10.74.18.60","52.98.159.18","TLSv1.2","112","Application Data"
"52","3.019941018","13.107.6.163","10.74.18.60","TCP","60","443  >  47346 [ACK] Seq=1 Ack=40 Win=16384 Len=0"
"53","3.019941395","13.107.6.163","10.74.18.60","TLSv1.2","93","Application Data"
"54","3.020002427","10.74.18.60","13.107.6.163","TCP","54","47346  >  443 [ACK] Seq=40 Ack=40 Win=623 Len=0"
"55","3.023343406","52.98.159.18","10.74.18.60","TLSv1.2","112","Application Data"
"56","3.023369150","10.74.18.60","52.98.159.18","TCP","66","44272  >  443 [ACK] Seq=47 Ack=47 Win=1383 Len=0 TSval=229640189 TSecr=484703326"
"57","3.212184854","Cisco_e4:78:c3","PVST+","STP","64","Conf. Root = 32768/16/2c:33:11:e4:78:c0  Cost = 0  Port = 0x8004"
"58","3.345284178","10.74.17.126","10.74.19.255","NBNS","92","Name query NB PARAKOU3<00>"
"59","3.350026200","ProxmoxServe_69:bd:fe","Broadcast","ARP","60","Who has 10.74.16.2? Tell 10.74.16.50"
"60","3.602291251","10.74.17.126","224.0.0.251","MDNS","74","Standard query 0x0000 AAAA parakou3.local, ""QM"" question"
"61","3.602291778","fe80::bc32:3446:332f:69b6","ff02::fb","MDNS","94","Standard query 0x0000 AAAA parakou3.local, ""QM"" question"
"62","3.680037343","ProxmoxServe_2a:da:19","Broadcast","ARP","60","Who has 10.74.16.25? Tell 10.74.16.1"
"63","3.726726970","Ubiquiti_f7:5e:40","Broadcast","ARP","60","Who has 10.74.16.1? Tell 10.74.16.43"
"64","3.784246558","ProxmoxServe_2a:da:19","Broadcast","ARP","60","Who has 10.74.16.28? Tell 10.74.16.1"
"65","3.826261244","ProxmoxServe_6f:81:e8","Broadcast","ARP","60","Who has 10.74.17.251? Tell 10.74.18.6"
"66","3.855629506","ProxmoxServe_2a:da:19","Broadcast","ARP","60","Who has 10.74.16.26? Tell 10.74.16.1"
"67","3.876592095","10.74.16.114","224.0.0.251","MDNS","115","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question"
"68","3.876592879","fe80::19:7007:9a54:a681","ff02::fb","MDNS","135","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _airplay._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question"
"69","3.881207641","fe80::19:7007:9a54:a681","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"70","4.102811018","10.74.17.126","10.74.19.255","NBNS","92","Name query NB PARAKOU3<00>"
"71","4.282655968","42:d4:47:1b:a4:2d","Broadcast","ARP","60","Who has 10.74.16.114? Tell 10.74.18.59"
"72","4.292168923","ProxmoxServe_2a:da:19","Broadcast","ARP","60","Who has 10.74.16.27? Tell 10.74.16.1"
"73","4.298161203","ProxmoxServe_2a:da:19","Broadcast","ARP","60","Who has 10.74.16.24? Tell 10.74.16.1"
"74","4.374487229","ProxmoxServe_69:bd:fe","Broadcast","ARP","60","Who has 10.74.16.2? Tell 10.74.16.50"
"75","4.853256953","10.74.17.126","10.74.19.255","NBNS","92","Name query NB PARAKOU3<00>"
"76","4.858676319","fe80::bc32:3446:332f:69b6","ff02::1:3","LLMNR","88","Standard query 0x389a AAAA parakou3"
"77","4.863647753","fe80::bc32:3446:332f:69b6","ff02::1:3","LLMNR","88","Standard query 0x8f8b A parakou3"
"78","4.863648244","10.74.17.126","224.0.0.251","MDNS","74","Standard query 0x0000 A parakou3.local, ""QM"" question"
"79","4.863648354","fe80::bc32:3446:332f:69b6","ff02::fb","MDNS","94","Standard query 0x0000 A parakou3.local, ""QM"" question"
"80","4.863648461","fe80::bc32:3446:332f:69b6","ff02::fb","MDNS","94","Standard query 0x0000 AAAA parakou3.local, ""QM"" question"
"81","4.863648571","10.74.17.126","224.0.0.251","MDNS","74","Standard query 0x0000 AAAA parakou3.local, ""QM"" question"
"82","4.863648678","10.74.17.126","224.0.0.252","LLMNR","68","Standard query 0x8f8b A parakou3"
