No.,timestamp,src_ip,dst_ip,proto,Length,Info,src_port,dst_port,label,src_ip_entropy,dst_ip_entropy,src_port_var,dst_port_var,is_ip_aleatoire_80,ip_aleatoire_80,is_ip_aleatoire_port,is_ip_source_unique,is_ip_source_rare_on_port,is_new_src_ip_on_port_10_74
1.0,0.0,10.74.18.60,52.109.68.4,TLSv1.2,105.0,Application Data,0,0,0,2.663532754804255,3.027169118440619,0,0,0,1.0,0,0,0,0
4.0,0.010438191,52.109.68.4,10.74.18.60,TLSv1.2,105.0,Application Data,0,0,0,3.027169118440619,2.663532754804255,0,0,0,1.0,0,0,0,1
5.0,0.010479697,10.74.18.60,52.109.68.4,TCP,66.0,43252  >  443 [ACK] Seq=40 Ack=40 Win=671 Len=0 TSval=2994689652 TSecr=2627382535,0,0,0,2.663532754804255,3.027169118440619,0,0,0,1.0,0,0,0,0
11.0,1.000828571,10.74.18.60,52.123.128.14,TLSv1.2,93.0,Application Data,0,0,0,2.663532754804255,2.6031579868726,0,0,0,1.0,0,0,0,0
12.0,1.010203973,52.123.128.14,10.74.18.60,TCP,60.0,443  >  43566 [ACK] Seq=1 Ack=40 Win=49154 Len=0,0,0,0,2.6031579868726,2.663532754804255,0,0,0,1.0,0,0,0,1
13.0,1.010204481,52.123.128.14,10.74.18.60,TLSv1.2,93.0,Application Data,0,0,0,2.6031579868726,2.663532754804255,0,0,0,1.0,0,0,0,0
14.0,1.01026623,10.74.18.60,52.123.128.14,TCP,54.0,43566  >  443 [ACK] Seq=40 Ack=40 Win=684 Len=0,0,0,0,2.663532754804255,2.6031579868726,0,0,0,1.0,0,0,0,0
17.0,1.377775246,52.123.128.14,10.74.18.60,TCP,60.0,"443  >  37688 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",0,0,0,2.6031579868726,2.663532754804255,0,0,0,1.0,0,0,0,0
22.0,2.001462893,10.74.18.60,20.50.73.9,TLSv1.2,105.0,Application Data,0,0,0,2.663532754804255,2.6464393446710153,0,0,0,1.0,0,0,0,0
23.0,2.00168826,10.74.18.60,40.101.124.194,TLSv1.2,105.0,Application Data,0,0,0,2.663532754804255,2.4137995646056805,0,0,0,1.0,0,0,0,0
24.0,2.020867848,40.101.124.194,10.74.18.60,TLSv1.2,105.0,Application Data,0,0,0,2.4137995646056805,2.663532754804255,0,0,0,1.0,0,0,0,1
25.0,2.020923323,10.74.18.60,40.101.124.194,TCP,66.0,55198  >  443 [ACK] Seq=40 Ack=40 Win=609 Len=0 TSval=979411213 TSecr=63453915,0,0,0,2.663532754804255,2.4137995646056805,0,0,0,1.0,0,0,0,0
27.0,2.026969314,20.50.73.9,10.74.18.60,TLSv1.2,105.0,Application Data,0,0,0,2.6464393446710153,2.663532754804255,0,0,0,1.0,0,0,0,1
28.0,2.026995544,10.74.18.60,20.50.73.9,TCP,66.0,33390  >  443 [ACK] Seq=40 Ack=40 Win=623 Len=0 TSval=3379971980 TSecr=26679506,0,0,0,2.663532754804255,2.6464393446710153,0,0,0,1.0,0,0,0,0
30.0,2.305061877,20.74.67.0,10.74.18.60,TCP,60.0,"443  >  38240 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",0,0,0,2.446439344671015,2.663532754804255,0,0,0,1.0,0,0,0,1
33.0,2.583770491,10.74.17.126,10.74.19.255,NBNS,92.0,Name query NB PARAKOU3<00>,0,0,0,2.625814583693911,2.8553885422075336,0,0,0,1.0,0,0,0,1
